Species
Anoda_cristata              
Bonellia_macrocarpa        
Bouvardia_ternifolia           
Caesalpinia_pulcherrima     
Encelia_farinosa              
Evolvulus_alsinoides       
Guaiacum_coulteri             
Hymenocallis_littoralis  
Ipomoea_bracteata
Ipomoea_pes-caprae
Lantana_camara
Mentzelia_hispida
Oenothera_rosea
Oenothera_speciosa
Phyla_nodiflora
Plumeria_rubra
Prunella_vulgaris
Sanvitalia_procumbens
Sesuvium_portulacastrum
Solanum_erianthum
Solanum_tridynamum
Tecoma_stans
Zinnia_peruviana
